Duration,log_votes,movie_age,Year,genre_drama,genre_action,genre_romance,genre_comedy,genre_crime,genre_thriller,genre_family,genre_musical,genre_mystery,genre_adventure,director_encoded,director_movie_count,actor_1_encoded,actor_1_movie_count,actor_2_encoded,actor_2_movie_count,actor_3_encoded,actor_3_movie_count,Rating
109,2.1972245773362196,7,2019,1,0,0,0,0,0,0,0,0,0,6.010260583720299,1,6.067738868410274,2,6.010260583720299,1,6.010260583720299,1,7.0
110,3.58351893845611,7,2019,0,0,1,1,0,0,0,0,0,0,5.773896947356662,1,5.747524428061553,5,5.773896947356662,1,5.667738868410274,2,4.4
147,6.71901315438526,29,1997,1,0,0,1,0,0,0,1,0,0,5.552514656836931,15,5.189745229318689,18,5.763036100871804,14,5.8910888771868235,11,4.7
142,6.99117688712121,21,2005,1,0,1,0,0,0,0,0,0,0,6.463304151307705,6,5.593762214030777,20,6.147143570840253,3,6.172937023384628,8,7.4
82,5.7899601708972535,14,2012,0,0,0,0,0,1,0,0,1,0,5.8829878564475715,1,5.8829878564475715,1,5.900804151307705,6,5.8829878564475715,1,5.6
116,2.4849066497880004,12,2014,0,1,0,0,1,1,0,0,0,0,5.737533310993026,1,5.737533310993026,1,5.684405535076941,2,5.737533310993026,1,4.0
96,2.8903717578961645,22,2004,1,0,0,0,0,0,0,0,0,0,5.937533310993026,1,5.695643321046164,10,5.680643321046165,10,5.6570541513077055,6,6.2
120,4.0943445622221,10,2016,0,0,0,0,0,0,0,0,0,0,6.08440553507694,2,5.947143570840253,3,5.910260583720299,1,5.910260583720299,1,5.9
161,6.891625897052253,35,1991,0,0,1,0,0,1,0,0,0,0,5.325536100871804,14,5.333601383769235,38,5.955253755513655,21,5.436948473678331,12,6.5
166,6.240275845170769,14,2012,1,0,1,1,0,0,0,0,0,0,5.89207876553848,1,5.976072201743608,2,5.89207876553848,1,5.89207876553848,1,5.7
102,8.797850648931053,8,2018,1,0,0,1,0,0,0,0,0,0,6.000919030065949,4,6.128944742530841,101,6.244152075653853,22,5.9848877063643835,9,7.4
87,5.093750200806762,16,2010,1,0,1,1,0,0,0,0,0,0,6.215204744351664,4,5.946624220083936,1,5.946624220083936,1,6.147143570840253,3,6.3
132,4.290459441148391,68,1958,1,0,0,0,1,0,0,0,1,0,6.212514656836931,15,6.343776172923092,4,6.622579622803425,26,6.446369434205137,14,7.2
